Sector	Side	FC Par	p0		p1		p2		p3		p4		p5
1	0	0	24.1007		-12		0.988602	4.4		0		0
1	0	1	1.55185		1.68372		-0.161292	0.5		0		0
1	0	2	15		-3.58709	-0.790803	10		41.2384		-2.77844
1	0	3	59.1823		-8.97872	7.25279e-09	-0.137969	0		0
1	1	0	24.69		-12		1.93755		4.4		0		0
1	1	1	3.12909		2		-0.378116	1.5125		0		0
2	0	0	24.9833		-12		0.88648		4.4		0		0
2	0	1	1.82949		2		-0.231991	0.705425	0		0
2	0	2	15		-3.18861	-0.815618	10		32.1378		-2.66887
2	0	3	56.8291		-8.35986	2		-0.266998	0		0
2	1	0	25		-12		1.01982		4.4		0		0
2	1	1	2.7463		2		-0.253927	1.32911		0		0
3	0	0	25		-12		0.800149	4.4		0		0
3	0	1	3.1405		1.58174		-2		1.31869		0		0
3	0	2	15		-2.82339	-0.810061	10		60.6398		-3.4957
3	0	3	57.0864		-8.78674	2		-0.115496	0		0
3	1	0	25		-12		0.86966		4.4		0		0
3	1	1	3.23553		2		-0.273695	0.709503	0		0
4	0	0	24.2665		-8		0.607099	4.8		0		0
4	0	1	3.20671		0.410017	-2		0.522952	0		0
4	0	2	15		-1.97552	-0.84627	10		34.995		-3.9352
4	0	3	60.3487		-10.5108	1.16203e-09	0.148113	0		0
4	1	0	25		-12		0.975533	4.4		0		0
4	1	1	3.47462		1.80575		-0.202664	0.5		0		0
5	0	0	24.188		-12		1.32876		4.4		0		0
5	0	1	1.5		1.7525		-0.189277	0.856299	0		0
5	0	2	15		-2.30891	-0.800546	10		88.7268		-5
5	0	3	58.1688		-7.88994	4.32311e-09	-0.408098	0		0
5	1	0	25		-12		1.78226		4.4		0		0
5	1	1	3.61859		2		-0.366367	0.651266	0		0
6	0	0	24.765		-12		0.925827	4.4		0		0
6	0	1	1.5		1.34598		-0.326831	1.33186		0		0
6	0	2	14.1075		-2.03962	-0.51452	9.99998		13.4081		-2.09748
6	0	3	58.3365		-9.55308	2		-0.0112592	0		0
6	1	0	25		-12		1.0577		4.4		0		0
6	1	1	3.42444		2		-0.590989	1.6		0		0
